Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Argentina;Abono Mensual;AHORRO;100;Canal 100 DIRECTV;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;101;Canal 101 Prepago;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;105;Gran Hermano - Experiencia Multicámara;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;106;Gran Hermano - 24 hs;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;107;Gran Hermano - Cámara 1;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;108;Gran Hermano - Cámara 2;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;109;Gran Hermano - Cámara 3;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;120;América;SD;Nacional;No
Argentina;Abono Mensual;AHORRO;121;TV Pública;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;122;El Nueve;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;123;Telefe;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;124;El Trece;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;125;Net TV;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;126;Bravo TV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;127;DSHOW;SD;Variedades;Si
Argentina;Abono Mensual;AHORRO;128;Encuentro;SD;Nacional;Si
Argentina;Abono Mensual;AHORRO;129;Canal de la Ciudad;SD;Local;No
Argentina;Abono Mensual;AHORRO;130;Canal 7 Mendoza;SD;Local;No
Argentina;Abono Mensual;AHORRO;131;Canal 9 Mendoza;SD;Local;No
Argentina;Abono Mensual;AHORRO;132;Telediario;SD;Local;No
Argentina;Abono Mensual;AHORRO;133;Canal 7 de Jujuy;SD;Local;No
Argentina;Abono Mensual;AHORRO;134;Canal 3 Rosario;SD;Nacional;No
Argentina;Abono Mensual;AHORRO;135;Canal 12 de Córdoba;SD;Local;No
Argentina;Abono Mensual;AHORRO;136;Telefé Córdoba;SD;Local;No
Argentina;Abono Mensual;AHORRO;137;Telefe Rosario;SD;Local;No
Argentina;Abono Mensual;AHORRO;139;Televisión Pública Pampeana;SD;Local;No
Argentina;Abono Mensual;AHORRO;140;Canal 8 San Juan;SD;Local;No
Argentina;Abono Mensual;AHORRO;160;Infomerciales;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;199;KZO;SD;Variedades;Si
Argentina;Abono Mensual;AHORRO;200;DIRECTV Series;SD;Portal;No
Argentina;Abono Mensual;AHORRO;204;Star Channel;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;206;Warner Channel;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;207;A&E;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;208;Sony;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;209;AXN;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;210;AMC;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;213;TNT Series;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;214;Atres Series;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;215;Comedy Central;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;216;TNT Novelas;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;217;FX;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;218;Universal TV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;219;USA Network;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;220;Adult Swim;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;221;¡Hola! TV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;222;E!;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;223;Investigation Discovery (ID);SD;Variedades;No
Argentina;Abono Mensual;AHORRO;226;Las Estrellas;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;227;TLnovelas;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;228;Lifetime;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;229;Discovery Home & Health;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;230;Más Chic;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;231;Telemundo;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;232;El Gourmet;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;233;Food Network;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;236;Ciudad Magazine;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;238;Volver;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;240;Caras TV;SD;Mundo;No
Argentina;Abono Mensual;AHORRO;264;MTV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;267;DSHOW;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;269;Quiero Música en Mi Idioma (QMusic);SD;Variedades;No
Argentina;Abono Mensual;AHORRO;296;Unión Radio Noticias;Radio;Radio;No
Argentina;Abono Mensual;AHORRO;300;OnDIRECTV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;301;Star Fun;SD;PPV;No
Argentina;Abono Mensual;AHORRO;302;HBO Family;SD;Cine;No
Argentina;Abono Mensual;AHORRO;303;Paka Paka;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;304;Cartoon Network;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;308;Nickelodeon;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;309;Nick Jr.;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;312;Disney Channel;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;315;Disney Junior;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;317;BabyTV;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;318;Plim Plim;SD;Infantil;Si
Argentina;Abono Mensual;AHORRO;319;El Reino Infantil;SD;Infantil;Si
Argentina;Abono Mensual;AHORRO;330;Discovery Kids;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;334;Cartoonito;SD;Infantil;No
Argentina;Abono Mensual;AHORRO;350;EWTN;SD;Religioso;No
Argentina;Abono Mensual;AHORRO;351;Orbe 21;SD;Religioso;No
Argentina;Abono Mensual;AHORRO;352;Enlace;SD;Religioso;No
Argentina;Abono Mensual;AHORRO;354;Canal Luz;SD;Religioso;No
Argentina;Abono Mensual;AHORRO;358;DayStar;SD;Religioso;No
Argentina;Abono Mensual;AHORRO;400;Placa DIRECTV GO;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;401;SMS CINE PPV;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;402;CINE;SD;PPV;No
Argentina;Abono Mensual;AHORRO;404;CINE;SD;PPV;No
Argentina;Abono Mensual;AHORRO;406;CINE;SD;PPV;No
Argentina;Abono Mensual;AHORRO;408;CINE;SD;PPV;No
Argentina;Abono Mensual;AHORRO;410;CINE;SD;PPV;No
Argentina;Abono Mensual;AHORRO;460;SMS ADULTOS PPV;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;464;Playboy TV;SD;Adultos;No
Argentina;Abono Mensual;AHORRO;468;Venus;SD;Adultos;No
Argentina;Abono Mensual;AHORRO;469;XTSY;SD;Adultos;No
Argentina;Abono Mensual;AHORRO;470;Hustler TV HD;HD;Adultos;No
Argentina;Abono Mensual;AHORRO;500;OnDIRECTV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;502;TNT;SD;Cine;No
Argentina;Abono Mensual;AHORRO;503;Golden;SD;Cine;No
Argentina;Abono Mensual;AHORRO;506;Sony Movies;SD;Cine;No
Argentina;Abono Mensual;AHORRO;507;Cinecanal;SD;Cine;No
Argentina;Abono Mensual;AHORRO;508;Studio Universal;SD;Cine;No
Argentina;Abono Mensual;AHORRO;509;Cinemax;SD;Cine;No
Argentina;Abono Mensual;AHORRO;510;Mórbido TV;SD;Cine;Si
Argentina;Abono Mensual;AHORRO;512;Cine.AR;SD;Cine;No
Argentina;Abono Mensual;AHORRO;513;DHE;SD;Cine;No
Argentina;Abono Mensual;AHORRO;516;De Película;SD;Cine;No
Argentina;Abono Mensual;AHORRO;517;Golden Edge;SD;Cine;No
Argentina;Abono Mensual;AHORRO;518;Space;SD;Cine;No
Argentina;Abono Mensual;AHORRO;522;HBO Next;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;524;HBO;SD;Cine;No
Argentina;Abono Mensual;AHORRO;525;HBO 2;SD;Cine;No
Argentina;Abono Mensual;AHORRO;526;HBO Plus Este;SD;Cine;No
Argentina;Abono Mensual;AHORRO;528;HBO Signature;SD;Cine;No
Argentina;Abono Mensual;AHORRO;534;HBO Family;SD;Cine;No
Argentina;Abono Mensual;AHORRO;540;HBO Mundi;SD;Cine;No
Argentina;Abono Mensual;AHORRO;541;HBO Pop;SD;Cine;No
Argentina;Abono Mensual;AHORRO;542;HBO Xtreme;SD;Cine;No
Argentina;Abono Mensual;AHORRO;544;HBO Next;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;550;OnDIRECTV;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;551;Cómo Contratar Premium;SD;Portal;No
Argentina;Abono Mensual;AHORRO;570;Portal Premium;SD;Portal;No
Argentina;Abono Mensual;AHORRO;571;UNIVERSAL Premiere Este;SD;Cine;No
Argentina;Abono Mensual;AHORRO;572;UNIVERSAL Cinema Oeste;SD;Cine;No
Argentina;Abono Mensual;AHORRO;573;UNIVERSAL Comedy;SD;Cine;No
Argentina;Abono Mensual;AHORRO;574;UNIVERSAL Crime;SD;Cine;No
Argentina;Abono Mensual;AHORRO;575;UNIVERSAL Reality;SD;Cine;No
Argentina;Abono Mensual;AHORRO;576;UNIVERSAL Premiere Oeste;SD;Cine;No
Argentina;Abono Mensual;AHORRO;577;UNIVERSAL Crime Oeste;SD;Cine;No
Argentina;Abono Mensual;AHORRO;599;Bienvenido a DIRECTV;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;600;Portal DIRECTV Sports;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;601;Nueva señal - Nombre TBD;SD;Variedades;No
Argentina;Abono Mensual;AHORRO;602;Portal Fútbol Premium;Portal;Portal;No
Argentina;Abono Mensual;AHORRO;603;TNT Sports;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;604;ESPN Premium;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;605;Fox Sports;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;608;Fox Sports 2;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;609;Fox Sports 3;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;610;DSPORTS;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;612;DSPORTS 2;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;613;DSPORTS+;SD;Deportes;Si
Argentina;Abono Mensual;AHORRO;620;TyC Sports;SD;Deportes;No
Argentina;Abono Mensual;AHORRO;621;ESPN;SD;Deportes;No
