Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Barbados;Pospago;A La Carta;776;Globo Internacional;SD;Nacional;Si
Barbados;Pospago;Bronze;131;CNC3;SD;Noticias;Si
Barbados;Pospago;Bronze;201;OnDIRECTV;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;202;Star Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;203;GSN;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;206;Warner Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;207;A&E LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;208;Sony East;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;209;AXN;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;210;AMC LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;216;TeenNick;SD;Infantil;Si
Barbados;Pospago;Bronze;217;FX;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;218;Universal TV;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;219;USA Network;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;220;Adult Swim;SD;Infantil;Si
Barbados;Pospago;Bronze;222;E! Entertainment;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;223;Investigation Discovery (ID);SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;228;Lifetime LA;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;229;Discovery Home & Health;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;233;Food Network US;SD;Gastronómico;Si
Barbados;Pospago;Bronze;250;HGTV US;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;253;BET;SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;264;MTV LA;SD;Musical;Si
Barbados;Pospago;Bronze;304;Cartoon Network;SD;Infantil;Si
Barbados;Pospago;Bronze;314;Disney Channel;SD;Infantil;Si
Barbados;Pospago;Bronze;315;Disney Junior;SD;Infantil;Si
Barbados;Pospago;Bronze;321;ZooMoo;SD;Infantil;Si
Barbados;Pospago;Bronze;330;Discovery Kids;SD;Infantil;Si
Barbados;Pospago;Bronze;334;Cartoonito;SD;Infantil;Si
Barbados;Pospago;Bronze;502;TNT;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;507;Cinecanal;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;508;Studio Universal;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;510;Paramount Channel;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;518;Space;SD;Series Y Peliculas;Si
Barbados;Pospago;Bronze;600;DSports Portal;SD;Deportes;Si
Barbados;Pospago;Bronze;610;Dsports;SD;Deportes;Si
Barbados;Pospago;Bronze;612;DSports 2;SD;Deportes;Si
Barbados;Pospago;Bronze;620;DSports Fight;SD;Deportes;Si
Barbados;Pospago;Bronze;621;ESPN Caribbean;SD;Deportes;Si
Barbados;Pospago;Bronze;622;ESPN 2 Caribbean;SD;Deportes;Si
Barbados;Pospago;Bronze;628;The Golf Channel LA;SD;Deportes;Si
Barbados;Pospago;Bronze;667;Flow Sports Network;SD;Deportes;Si
Barbados;Pospago;Bronze;702;CNN;SD;Noticias;Si
Barbados;Pospago;Bronze;706;CNN International;SD;Noticias;Si
Barbados;Pospago;Bronze;710;Bloomberg;SD;Noticias;Si
Barbados;Pospago;Bronze;730;National Geographic;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;732;Discovery Channel;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;734;Animal Planet;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;740;Discovery Travel & Living Channel (TLC);SD;Hogar Y Variedades;Si
Barbados;Pospago;Bronze;742;History Channel LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;744;History 2 LA;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;746;Film & Arts;SD;Ciencia Y Cultura;Si
Barbados;Pospago;Bronze;768;BBC News;SD;Informativo;Si
Barbados;Pospago;Direct International;766;Rai Italia;SD;Nacional;Si
Barbados;Pospago;Direct International;770;Deutsche Welle (DW);SD;Noticias;Si
Barbados;Pospago;Direct International;778;RTP Internacional;SD;Nacional;Si
Barbados;Pospago;Direct International;782;NHK World;SD;Informativo;Si
Barbados;Pospago;Directv Latino (Premium);127;DShow;SD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);214;Atres Series;SD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);221;¡Hola! TV;SD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);226;El Canal de las Estrellas;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);227;TLnovelas;SD;Telenovelas;Si
Barbados;Pospago;Directv Latino (Premium);231;Telemundo Internacional;SD;Telenovelas;Si
Barbados;Pospago;Directv Latino (Premium);235;IVC;SD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);269;Quiero Música en Mi Idioma (QMusic);SD;Musical;Si
Barbados;Pospago;Directv Latino (Premium);352;Enlace;SD;Religioso;Si
Barbados;Pospago;Directv Latino (Premium);514;Cine Latino;SD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);516;De Película;SD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);624;ESPN 5;SD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);626;ESPN 6;SD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);627;ESPN 7;SD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);707;CNN Chile;SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);708;TVN 24 HORAS;SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);716;Todo Noticias (TN);SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);720;Canal 26;SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);725;NTN 24;SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);727;Cable Noticias;SD;Noticias;Si
Barbados;Pospago;Directv Latino (Premium);760;Univision;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);762;Antena 3;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);772;Caracol Internacional;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);775;RCN Nuestra Tele;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);784;El Trece Internacional;SD;Nacional;Si
Barbados;Pospago;Directv Latino (Premium);1127;DShow HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1214;Atres Series HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);1221;¡Hola! TV HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1235;IVC HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1236;VePlus HD;HD;Hogar Y Variedades;Si
Barbados;Pospago;Directv Latino (Premium);1519;Atres Cinema HD;HD;Series Y Peliculas;Si
Barbados;Pospago;Directv Latino (Premium);1624;ESPN 5 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1626;ESPN 6 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1627;ESPN 7 HD;HD;Deportes;Si
Barbados;Pospago;Directv Latino (Premium);1762;Antena 3 HD;HD;Nacional;Si
Barbados;Pospago;Exxotico;469;XTSY;SD;Hogar Y Variedades;Si
Barbados;Pospago;Exxotico;470;Hustler;SD;Adultos;Si
Barbados;Pospago;Gold / Gold +;131;CNC3;SD;Noticias;Si
