Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Chile;Abono Mensual;DGO;100;Canal Informativo;Portal;Portal;No
Chile;Abono Mensual;DGO;127;DShow;SD;Variedades;Si
Chile;Abono Mensual;DGO;146;NTV;SD;Mundo;Si
Chile;Abono Mensual;DGO;148;La Red;SD;Nacional;No
Chile;Abono Mensual;DGO;149;TVN CHILE;SD;Nacional;No
Chile;Abono Mensual;DGO;150;Mega;SD;Nacional;No
Chile;Abono Mensual;DGO;151;Chilevision;SD;Nacional;No
Chile;Abono Mensual;DGO;152;Canal 13 Chile;SD;Nacional;No
Chile;Abono Mensual;DGO;153;24 Horas;SD;Nacional;No
Chile;Abono Mensual;DGO;154;CNN Chile;SD;Nacional;No
Chile;Abono Mensual;DGO;202;Star Channel;SD;Variedades;No
Chile;Abono Mensual;DGO;206;Warner Channel;SD;Variedades;No
Chile;Abono Mensual;DGO;207;A&E;SD;Variedades;No
Chile;Abono Mensual;DGO;208;Sony;SD;Variedades;No
Chile;Abono Mensual;DGO;209;AXN;SD;Variedades;No
Chile;Abono Mensual;DGO;210;AMC;SD;Variedades;No
Chile;Abono Mensual;DGO;213;TNT Series;SD;Variedades;No
Chile;Abono Mensual;DGO;214;AtresSeries Internacional;SD;Variedades;No
Chile;Abono Mensual;DGO;215;Comedy Central;SD;Variedades;No
Chile;Abono Mensual;DGO;216;TNT Novelas;SD;Variedades;Si
Chile;Abono Mensual;DGO;217;FX;SD;Variedades;No
Chile;Abono Mensual;DGO;218;Universal TV;SD;Variedades;No
Chile;Abono Mensual;DGO;219;USA Network;SD;Variedades;No
Chile;Abono Mensual;DGO;220;Adult Swim;SD;Variedades;Si
Chile;Abono Mensual;DGO;221;¡Hola! TV;SD;Variedades;No
Chile;Abono Mensual;DGO;222;E! Entertainment;SD;Variedades;No
Chile;Abono Mensual;DGO;223;Investigation Discovery (ID);SD;Variedades;No
Chile;Abono Mensual;DGO;226;Las Estrellas;SD;Variedades;No
Chile;Abono Mensual;DGO;227;TLnovelas;SD;Variedades;No
Chile;Abono Mensual;DGO;228;Lifetime;SD;Variedades;No
Chile;Abono Mensual;DGO;229;Discovery Home & Health;SD;Variedades;No
Chile;Abono Mensual;DGO;230;Más Chic;SD;Variedades;Si
Chile;Abono Mensual;DGO;231;Telemundo Internacional;SD;Variedades;Si
Chile;Abono Mensual;DGO;232;El Gourmet;SD;Variedades;Si
Chile;Abono Mensual;DGO;233;Food Network;SD;Variedades;No
Chile;Abono Mensual;DGO;264;MTV;SD;Variedades;No
Chile;Abono Mensual;DGO;269;Quiero Música en Mi Idioma (QMusic);SD;Variedades;No
Chile;Abono Mensual;DGO;304;Cartoon Network;SD;Infantil;No
Chile;Abono Mensual;DGO;308;Nickelodeon;SD;Infantil;No
Chile;Abono Mensual;DGO;309;Nick Jr.;SD;Infantil;No
Chile;Abono Mensual;DGO;312;Disney Channel;SD;Infantil;No
Chile;Abono Mensual;DGO;315;Disney Junior;SD;Infantil;Si
Chile;Abono Mensual;DGO;318;Plim Plim;SD;Infantil;No
Chile;Abono Mensual;DGO;319;El Reino Infantil;SD;Infantil;No
Chile;Abono Mensual;DGO;330;Discovery Kids;SD;Infantil;No
Chile;Abono Mensual;DGO;334;Cartoonito;SD;Infantil;No
Chile;Abono Mensual;DGO;350;EWTN;SD;Religioso;No
Chile;Abono Mensual;DGO;351;Orbe 21;SD;Religioso;No
Chile;Abono Mensual;DGO;352;Enlace;SD;Religioso;No
Chile;Abono Mensual;DGO;354;Canal Luz;SD;Religioso;No
Chile;Abono Mensual;DGO;502;TNT Latin America;SD;Cine;No
Chile;Abono Mensual;DGO;503;Golden;SD;Cine;No
Chile;Abono Mensual;DGO;506;Sony Movies;SD;Cine;No
Chile;Abono Mensual;DGO;507;Cinecanal;SD;Cine;No
Chile;Abono Mensual;DGO;508;Studio Universal;SD;Cine;No
Chile;Abono Mensual;DGO;509;Cinemax;SD;Cine;No
Chile;Abono Mensual;DGO;510;Mórbido TV;SD;Cine;No
Chile;Abono Mensual;DGO;513;DHE;SD;Cine;No
Chile;Abono Mensual;DGO;516;De Película;SD;Cine;No
Chile;Abono Mensual;DGO;517;Golden Edge;SD;Cine;No
Chile;Abono Mensual;DGO;518;Space;SD;Cine;No
Chile;Abono Mensual;DGO;524;HBO;SD;Cine;No
Chile;Abono Mensual;DGO;610;DSports;SD;Deportes;No
Chile;Abono Mensual;DGO;612;DSports 2;SD;Deportes;No
Chile;Abono Mensual;DGO;613;DSports+;SD;Deportes;No
Chile;Abono Mensual;DGO;620;ESPN Premium;SD;Deportes;No
Chile;Abono Mensual;DGO;621;ESPN;SD;Deportes;No
Chile;Abono Mensual;DGO;622;ESPN 2;SD;Deportes;No
Chile;Abono Mensual;DGO;623;ESPN 3;SD;Deportes;No
Chile;Abono Mensual;DGO;625;ESPN 5;SD;Deportes;Si
Chile;Abono Mensual;DGO;626;ESPN 6;SD;Deportes;No
Chile;Abono Mensual;DGO;627;ESPN 7;SD;Deportes;No
Chile;Abono Mensual;DGO;628;Golf Channel;SD;Deportes;No
Chile;Abono Mensual;DGO;629;TyC Sports;SD;Deportes;No
