Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Colombia;Pospago;Access Id;117;TV Familia;SD;Religioso;Si
Colombia;Pospago;Access Id;127;DShow;SD;Variedades;Si
Colombia;Pospago;Access Id;129;Directv Place;SD;Variedades;No
Colombia;Pospago;Access Id;130;RCN;SD;Nacional;Si
Colombia;Pospago;Access Id;132;Caracol Internacional;SD;Nacional;Si
Colombia;Pospago;Access Id;133;City TV;SD;Nacional;Si
Colombia;Pospago;Access Id;134;Caracol Internacional;SD;Nacional;Si
Colombia;Pospago;Access Id;135;RCN Nuestra Tele;SD;Nacional;Si
Colombia;Pospago;Access Id;136;Canal UNO;SD;Nacional;Si
Colombia;Pospago;Access Id;137;Señal Colombia;SD;Nacional;Si
Colombia;Pospago;Access Id;138;Señal Institucional;SD;Nacional;Si
Colombia;Pospago;Access Id;139;Canal Congreso;SD;Nacional;Si
Colombia;Pospago;Access Id;140;Teleantioquia;SD;Nacional;Si
Colombia;Pospago;Access Id;141;Telepacifico;SD;Nacional;Si
Colombia;Pospago;Access Id;142;Telecaribe;SD;Nacional;Si
Colombia;Pospago;Access Id;143;Canal Capital;SD;Nacional;Si
Colombia;Pospago;Access Id;144;Telecafé;SD;Nacional;Si
Colombia;Pospago;Access Id;145;NTN 24 NOTICIAS;SD;Nacional;Si
Colombia;Pospago;Access Id;146;El Tiempo TV;SD;Nacional;Si
Colombia;Pospago;Access Id;147;Cable Noticias;SD;Nacional;Si
Colombia;Pospago;Access Id;148;TRO;SD;Nacional;Si
Colombia;Pospago;Access Id;149;Trece;SD;Nacional;Si
Colombia;Pospago;Access Id;150;Teleislas;SD;Nacional;Si
Colombia;Pospago;Access Id;151;Telemedellin;SD;Nacional;Si
Colombia;Pospago;Access Id;152;TV Agro;SD;Local;Si
Colombia;Pospago;Access Id;202;Star Channel;SD;Variedades;Si
Colombia;Pospago;Access Id;204;Star Channel HD;HD;Cine;No
Colombia;Pospago;Access Id;206;Warner Channel;SD;Variedades;Si
Colombia;Pospago;Access Id;207;A&E;SD;Variedades;Si
Colombia;Pospago;Access Id;208;Sony;SD;Variedades;Si
Colombia;Pospago;Access Id;209;AXN;SD;Variedades;No
Colombia;Pospago;Access Id;210;AMC;SD;Variedades;No
Colombia;Pospago;Access Id;213;TNT Series;SD;Variedades;No
Colombia;Pospago;Access Id;214;Atres Series;SD;Variedades;No
Colombia;Pospago;Access Id;215;Comedy Central;SD;Variedades;No
Colombia;Pospago;Access Id;216;TNT Novelas;SD;Variedades;No
Colombia;Pospago;Access Id;217;FX;SD;Variedades;Si
Colombia;Pospago;Access Id;218;Universal TV;SD;Variedades;Si
Colombia;Pospago;Access Id;219;USA Network;SD;Variedades;No
Colombia;Pospago;Access Id;220;Adult Swim;SD;Variedades;No
Colombia;Pospago;Access Id;221;¡Hola! TV;SD;Variedades;Si
Colombia;Pospago;Access Id;222;E! Entertainment;SD;Variedades;Si
Colombia;Pospago;Access Id;223;Investigation Discovery (ID);SD;Variedades;Si
Colombia;Pospago;Access Id;226;El Canal de las Estrellas;SD;Variedades;Si
