Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Ecuador;Abono Mensual;Familiar SD;142;Telecaribe;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;148;Canal TRO;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;151;Telemedellin;SD;Mundo;Si
Ecuador;Abono Mensual;Familiar SD;170;TV Familia;SD;Religioso;No
Ecuador;Abono Mensual;Familiar SD;177;RTU;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;178;Redonda TV;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;179;Teleamazonas Guayaquil;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;180;Teleamazonas;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;181;TC Television;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;182;Ecuavisa;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;183;Gama TV;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;184;Ecuavisa;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;185;RTS;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;187;Ecuador TV;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;188;Telerama;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;190;Oro Mar TV;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;192;Televicentro;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;194;Manavision;SD;Nacional;Si
Ecuador;Abono Mensual;Familiar SD;202;Star Channel;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;206;Warner Channel;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;207;A&E;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;208;Sony;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;209;AXN;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;210;AMC;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;213;TNT Series;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;214;Atres Series;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;215;Comedy Central;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;216;TNT Novelas;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;217;FX;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;218;Universal TV;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;219;USA Network;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;220;Adult Swim;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;221;¡Hola! TV;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;222;E! Entertainment;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;223;Investigation Discovery (ID);SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;226;El Canal de las Estrellas;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;227;TLnovelas;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;228;Lifetime;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;229;Discovery Home & Health;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;230;Más Chic;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;231;Telemundo Internacional;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;232;El Gourmet;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;233;Food Network;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;264;MTV;SD;Variedades;Si
Ecuador;Abono Mensual;Familiar SD;269;Quiero Música en Mi Idioma (QMusic);SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;270;Mi Gente 3.0;SD;Variedades;No
Ecuador;Abono Mensual;Familiar SD;304;Cartoon Network;SD;Infantil;Si
Ecuador;Abono Mensual;Familiar SD;308;Nickelodeon;SD;Infantil;No
Ecuador;Abono Mensual;Familiar SD;309;Nick Jr.;SD;Infantil;No
Ecuador;Abono Mensual;Familiar SD;312;Disney Channel;SD;Infantil;Si
Ecuador;Abono Mensual;Familiar SD;315;Disney Junior;SD;Infantil;Si
Ecuador;Abono Mensual;Familiar SD;317;BabyTV;SD;Infantil;No
Ecuador;Abono Mensual;Familiar SD;318;Plim Plim;SD;Infantil;Si
Ecuador;Abono Mensual;Familiar SD;319;El Reino Infantil;SD;Infantil;No
Ecuador;Abono Mensual;Familiar SD;330;Discovery Kids;SD;Infantil;Si
Ecuador;Abono Mensual;Familiar SD;334;Cartoonito;SD;Infantil;No
Ecuador;Abono Mensual;Familiar SD;350;EWTN;SD;Religioso;Si
Ecuador;Abono Mensual;Familiar SD;351;Canal Orbe 21;SD;Religioso;No
Ecuador;Abono Mensual;Familiar SD;352;Enlace TBN;SD;Religioso;Si
Ecuador;Abono Mensual;Familiar SD;464;Playboy TV;SD;Adultos;No
Ecuador;Abono Mensual;Familiar SD;468;Venus;SD;Adultos;No
Ecuador;Abono Mensual;Familiar SD;469;XTSY;SD;Adultos;No
Ecuador;Abono Mensual;Familiar SD;470;Hustler;SD;Adultos;No
Ecuador;Abono Mensual;Familiar SD;502;TNT;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;503;Golden;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;506;Sony Movies;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;507;Cinecanal;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;508;Studio Universal;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;509;Cinemax;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;510;Mórbido TV;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;513;DHE;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;515;Cinema;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;516;De Película;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;517;Golden Edge;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;518;Space;SD;Cine;Si
Ecuador;Abono Mensual;Familiar SD;524;HBO Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;525;HBO 2;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;526;HBO Plus Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;528;HBO Signature;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;532;HBO Plus Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;534;HBO Family Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;538;MAX Prime Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;540;HBO Mundi;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;541;HBO Pop;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;542;HBO Xtreme;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;571;Universal Premiere Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;572;Universal Cinema;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;573;Universal Comedy;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;574;Universal Crime Este;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;575;Universal Reality;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;576;Universal Premiere Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;577;Universal Cinema Oeste;SD;Cine;No
Ecuador;Abono Mensual;Familiar SD;610;DSports;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;612;DSports 2;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;613;DSports+;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;616;Liga;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;621;ESPN;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;622;ESPN 2;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;623;ESPN 3;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;625;ESPN 5;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;626;ESPN 6;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;627;ESPN 7;SD;Deportes;Si
Ecuador;Abono Mensual;Familiar SD;628;The Golf Channel;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;629;TyC Sports;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;655;El Canal del Futbol;SD;Deportes;No
Ecuador;Abono Mensual;Familiar SD;680;MLB Temporada;SD;Deportes;No
