Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Peru;Abono Mensual;Oro HD L1Max 1D;100;Canal 100 Directv;SD;Portal;Si
Peru;Abono Mensual;Oro HD L1Max 1D;127;DShow;SD;Religioso;Si
Peru;Abono Mensual;Oro HD L1Max 1D;128;LMS;SD;Variedades;No
Peru;Abono Mensual;Oro HD L1Max 1D;190;Exitosa TV;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;192;Latina;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;193;El Congreso;SD;Local;Si
Peru;Abono Mensual;Oro HD L1Max 1D;194;America Television;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;195;Panamericana Television;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;196;ATV MAS;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;197;TV Perú;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;198;Global;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;199;ATV;SD;Nacional;Si
Peru;Abono Mensual;Oro HD L1Max 1D;202;Star Channel;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;206;Warner Channel;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;207;A&E Mundo;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;208;Sony;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;209;AXN;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;210;AMC;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;213;TNT Series;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;214;Atres Series;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;215;Comedy Central;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;216;TNT Novelas;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;217;FX;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;218;Universal TV;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;219;USA Network;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;220;Adult Swim;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;221;¡Hola! TV;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;222;E! Entertainment;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;223;Investigation Discovery (ID);SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;226;Las Estrellas;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;227;TLnovelas;SD;Variedades;Si
Peru;Abono Mensual;Oro HD L1Max 1D;228;Lifetime;SD;Variedades;Si
