Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Puerto Rico;POS_PR;Demo;162;Telemundo;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;164;WAPA TV;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;166;WIPR;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;167;Teleislas;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;168;TeleOnce HD;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;169;Daystar Español;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;170;Fox News;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;172;ABC5;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;174;CBS;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;176;NBC PR;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;179;Punto 2;HD;Nacional;Si
Puerto Rico;POS_PR;Demo;181;TV Dominicana;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;182;TV Chile;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;183;TeleOro;SD;Nacional;Si
Puerto Rico;POS_PR;Demo;185;Telecinco;SD;Local;Si
Puerto Rico;POS_PR;Demo;186;UniMás;SD;Local;Si
Puerto Rico;POS_PR;Demo;188;QVC;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;189;QVC 2;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;190;Home Shopping Network (HSN);SD;Variedades;Si
Puerto Rico;POS_PR;Demo;191;Home Shopping Network (HSN) 2;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;220;Bravo;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;221;¡Hola! TV;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;222;E! Entertainment HD;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;225;Pasiones;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;226;QVC;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;227;Home Shopping Network (HSN);SD;Variedades;Si
Puerto Rico;POS_PR;Demo;228;Food Network;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;229;Blossom;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;230;BET;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;242;FX HD;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;244;TNT;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;246;USA Network;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;248;TBS;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;249;TLnovelas;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;250;HGTV;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;252;Freeform;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;254;Paramount Network;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;256;A&E;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;260;MTV;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;261;MTV 2;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;262;VH1;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;263;Comedy Central;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;264;VICE;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;267;Cooking Channel;HD;Variedades;Si
Puerto Rico;POS_PR;Demo;268;So Yummy;SD;Variedades;Si
Puerto Rico;POS_PR;Demo;320;Cartoon Network;HD;Infantil;Si
