Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Uruguay;Abono Mensual;Plata;184;Clic Rural;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;190;Canal 4;SD;Nacional;Si
Uruguay;Abono Mensual;Plata;191;Televisión Nacional;SD;Nacional;Si
Uruguay;Abono Mensual;Plata;192;Teledoce;SD;Nacional;Si
Uruguay;Abono Mensual;Plata;193;Saeta;SD;Nacional;Si
Uruguay;Abono Mensual;Plata;194;TV Ciudad HD;HD;Nacional;No
Uruguay;Abono Mensual;Plata;195;Campo Rural TV;HD;Nacional;No
Uruguay;Abono Mensual;Plata;196;UCL;SD;Nacional;Si
Uruguay;Abono Mensual;Plata;199;KZO;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;200;DNews;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;202;Todo Noticias (TN);SD;Mundo;Si
Uruguay;Abono Mensual;Plata;204;La Nación+;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;206;Canal 26;SD;Mundo;No
Uruguay;Abono Mensual;Plata;208;Crónica TV;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;210;Canal América;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;212;Canal 9;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;214;Canal 5 Noticias;HD;Mundo;Si
Uruguay;Abono Mensual;Plata;216;Argentina 12;SD;Mundo;Si
Uruguay;Abono Mensual;Plata;300;DSports Argentina;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;303;DSports Uruguay Mas;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;304;DSports Uruguay Mas;HD;Deportes;No
Uruguay;Abono Mensual;Plata;310;DSports Uruguay;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;312;DSports 2;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;313;DSports+;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;320;TyC Sports;SD;Deportes;No
Uruguay;Abono Mensual;Plata;321;ESPN;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;322;ESPN 2;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;323;ESPN 3;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;325;ESPN 4;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;326;ESPN 6;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;327;ESPN 7;SD;Deportes;Si
Uruguay;Abono Mensual;Plata;340;The Golf Channel;SD;Deportes;No
Uruguay;Abono Mensual;Plata;400;Disney Junior;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;402;Cartoon Network;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;404;Discovery Kids;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;406;Nick Jr.;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;408;Disney Channel;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;410;Nickelodeon;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;412;BabyTV;HD;Infantil;No
Uruguay;Abono Mensual;Plata;414;Cartoonito;SD;Infantil;No
Uruguay;Abono Mensual;Plata;416;Plim Plim;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;418;El Reino Infantil;SD;Infantil;Si
Uruguay;Abono Mensual;Plata;420;Discovery Home & Health;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;422;History Channel;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;424;Discovery Channel;SD;Variedades;Si
Uruguay;Abono Mensual;Plata;426;Investigation Discovery (ID);SD;Variedades;No
Uruguay;Abono Mensual;Plata;428;National Geographic;SD;Variedades;Si
