Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;BRONCE SD;120;AMÉRICA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;121;TV PÚBLICA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;122;EL NUEVE;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;123;TELEFÉ;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;124;EL TRECE;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;125;NET TV;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;126;BRAVO TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;127;DSHOW;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;128;ENCUENTRO;SD;EDUCATIVO
ARGENTINA;POSPAGO;BRONCE SD;129;CANAL DE LA CIUDAD;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;130;CANAL 7 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;131;CANAL 9 DE MENDOZA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;132;CANAL 13 DE RÍO CUARTO;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;133;CANAL 7 DE JUJUY;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;134;CANAL 3 DE ROSARIO;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;135;CANAL 12 DE CÓRDOBA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;136;TELEFÉ CÓRDOBA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;137;TELEFÉ ROSARIO;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;139;TVPP PAMPA;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;140;CANAL 8 DE SAN JUAN;SD;NACIONAL
ARGENTINA;POSPAGO;BRONCE SD;199;KZO;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;204;STAR CHANNEL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;206;WARNER;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;207;A&E;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;208;SONY;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;209;AXN;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;217;FX;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;218;UNIVERSAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;221;¡HOLA! TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;222;E!;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;231;TELEMUNDO;SD;TELENOVELAS
ARGENTINA;POSPAGO;BRONCE SD;236;CIUDAD MAGAZINE;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;238;VOLVER;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;240;CARAS TV;SD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;BRONCE SD;264;MTV;SD;MUSICAL
ARGENTINA;POSPAGO;BRONCE SD;269;QUIERO MÚSICA EN MI IDIOMA;SD;MUSICAL
ARGENTINA;POSPAGO;BRONCE SD;303;PAKA PAKA;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;304;CARTOON NETWORK;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;310;REINO INFANTIL;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;312;DISNEY CHANNEL;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;315;DISNEY JUNIOR;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;318;PLIM PLIM;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;330;DISCOVERY KIDS;SD;INFANTIL
ARGENTINA;POSPAGO;BRONCE SD;350;EWTN;SD;RELIGIOSO
ARGENTINA;POSPAGO;BRONCE SD;351;ORBE 21;SD;RELIGIOSO
ARGENTINA;POSPAGO;BRONCE SD;352;ENLACE;SD;RELIGIOSO
ARGENTINA;POSPAGO;BRONCE SD;354;CANAL LUZ;SD;RELIGIOSO
ARGENTINA;POSPAGO;BRONCE SD;358;DAYSTAR;SD;RELIGIOSO
ARGENTINA;POSPAGO;BRONCE SD;502;TNT;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;506;SONY MOVIES;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;507;CINECANAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;508;STUDIO UNIVERSAL;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;512;CINE.AR;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;518;SPACE;SD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;BRONCE SD;605;FOX SPORTS ARGENTINA;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;608;FOX SPORTS 2;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;609;FOX SPORTS 3;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;610;DSPORTS;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;612;D SPORTS 2;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;613;D SPORTS+;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;620;TYC SPORTS;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;621;ESPN;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;622;ESPN 2;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;623;ESPN 3;SD;DEPORTES
ARGENTINA;POSPAGO;BRONCE SD;631;DSPORTS RADIO;SD;DEPORTES
