Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
BARBADOS;POSPAGO;A LA CARTA;776;GLOBO INTERNACIONAL;SD;NACIONAL
BARBADOS;POSPAGO;BRONZE;131;CNC3;SD;NOTICIAS
BARBADOS;POSPAGO;BRONZE;201;ON DIRECTV;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;BRONZE;202;STAR CHANNEL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;203;GSN;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;BRONZE;206;WARNER;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;207;A&E LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;208;SONY EAST;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;209;AXN;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;210;AMC LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;216;TEEN NICK;SD;INFANTIL
BARBADOS;POSPAGO;BRONZE;217;FX;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;218;UNIVERSAL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;219;USA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;220;ADULT SWIM;SD;INFANTIL
BARBADOS;POSPAGO;BRONZE;222;E!;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;BRONZE;223;ID;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;BRONZE;228;LIFETIME LA;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;BRONZE;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;BRONZE;233;FOOD NETWORK US;SD;GASTRONÓMICO
BARBADOS;POSPAGO;BRONZE;250;HGTV US;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;BRONZE;253;BET;SD;HOGAR Y VARIEDADES
