Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
COLOMBIA;POSPAGO;ACCESS ID;117;TV FAMILIA;SD;RELIGIOSO
COLOMBIA;POSPAGO;ACCESS ID;127;DSHOW;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;130;RCN;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;132;CARACOL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;133;CITY TV;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;134;CARACOL INTERNACIONAL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;135;RCN NUESTRA TELE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;136;CANAL UNO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;137;SEÑAL COLOMBIA;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS ID;138;SEÑAL INSTITUCIONAL;SD;INFORMATIVO
COLOMBIA;POSPAGO;ACCESS ID;139;CANAL CONGRESO;SD;INFORMATIVO
COLOMBIA;POSPAGO;ACCESS ID;140;TELEANTIOQUIA;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;141;TELEPACIFICO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;142;TELECAFE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;143;CANAL CAPITAL;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;144;TELECAFE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;145;NTN 24;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;146;EL TIEMPO;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;147;CABLE NOTICIAS;SD;NOTICIAS
COLOMBIA;POSPAGO;ACCESS ID;148;TRO;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;149;TRECE;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;150;TELE ISLAS;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;151;TELEMEDELLIN;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;152;TV AGRO;SD;EDUCATIVO
COLOMBIA;POSPAGO;ACCESS ID;202;STAR CHANNEL;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;204;STAR CHANNEL HD;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;206;WARNER;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;207;A&E;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;208;SONY;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;217;FX;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;218;UNIVERSAL;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;221;¡HOLA! TV;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;222;E!;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;223;ID;SD;CIENCIA Y CULTURA
COLOMBIA;POSPAGO;ACCESS ID;226;CANAL DE LAS ESTRELLAS;SD;NACIONAL
COLOMBIA;POSPAGO;ACCESS ID;227;TL NOVELAS;SD;TELENOVELAS
COLOMBIA;POSPAGO;ACCESS ID;229;DISCOVERY HOME & HEALTH;SD;HOGAR Y VARIEDADES
COLOMBIA;POSPAGO;ACCESS ID;230;AMC SERIES;SD;SERIES Y PELICULAS
COLOMBIA;POSPAGO;ACCESS ID;231;TELEMUNDO;SD;TELENOVELAS
COLOMBIA;POSPAGO;ACCESS ID;232;EL GOURMET;SD;GASTRONÓMICO
