Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;162;TELEMUNDO PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;164;WAPA TV;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;166;WIPR;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;167;UNIVISION;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;168;TELEONCE;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;169;DAYSTAR ESPAÑOL;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;170;FOX PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;172;ABC5 PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;174;CBS PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;176;NBC PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;179;PUNTO 2;HD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;181;TV DOMINICANA;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;183;TELEORO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;185;TELECINCO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;188;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;189;QVC 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;190;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;191;HOME SHOPPING NETWORK 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;226;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;227;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;228;FOOD NETWORK;HD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;229;BLOSSOM;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;230;BET;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;244;TNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;248;TBS;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;249;TL NOVELAS;SD;TELENOVELAS
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;254;PARAMOUNT;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;260;MTV;HD;MUSICAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;261;MTV 2;HD;MUSICAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;262;VH1;HD;MUSICAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;264;VICE;SD;INFORMATIVO
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;268;SO YUMMY!;SD;GASTRONÓMICO
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;320;CARTOON NETWORK;HD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;322;NICKELODEON;HD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;330;DISCOVERY KIDS LA;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;332;LOOLOO KIDS;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;336;BOOMERANG;SD;INFANTIL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;338;VME;SD;NACIONAL
PUERTO RICO;CORPORATIVO;BASIC BARS PLUS PR;339;BABY FIRST TV;SD;INFANTIL
